,Datetime,SA DPT,SA Temp,RA DPT,SA %RH,RA Temp,RA Humidity
18,2022-01-05 01:28:16,19.0,22.5,16.5,81.6,23.5,64.8
19,2022-01-05 01:53:33,19.0,22.5,16.4,81.2,23.4,65.6
20,2022-01-05 01:53:33,19.0,22.5,16.6,80.9,23.4,66.5
21,2022-01-05 01:53:33,18.8,22.5,17.0,80.6,23.3,68.3
22,2022-01-05 01:53:33,18.2,21.9,17.1,80.5,23.2,69.4
23,2022-01-05 02:40:42,18.1,21.8,17.9,80.2,24.8,65.7
24,2022-01-05 02:40:42,16.7,20.3,17.8,80.0,24.6,66.5
25,2022-01-05 02:40:42,13.9,17.4,16.3,79.9,24.1,62.1
26,2022-01-05 02:40:42,13.9,17.4,16.4,79.9,24.2,62.1
27,2022-01-05 02:40:42,14.2,17.7,16.7,80.1,24.5,62.0
28,2022-01-05 03:21:31,14.6,18.2,17.0,80.3,24.8,62.2
29,2022-01-05 03:21:31,14.0,17.5,16.9,80.3,24.5,63.1
30,2022-01-05 03:21:31,14.7,18.3,17.1,80.6,24.7,63.2
31,2022-01-05 03:21:31,14.8,18.2,17.2,80.7,25.1,61.8
32,2022-01-05 03:21:31,13.4,16.7,17.1,80.7,24.9,61.7
33,2022-01-05 03:40:27,13.6,16.9,16.8,80.9,24.9,61.5
34,2022-01-05 03:40:27,14.3,17.6,17.0,81.2,25.1,60.9
35,2022-01-05 03:40:27,13.9,17.2,16.7,81.3,24.8,60.7
36,2022-01-05 03:40:27,13.3,16.6,16.2,81.4,24.6,60.4
37,2022-01-05 03:40:27,13.1,16.4,16.3,81.6,24.7,59.7
38,2022-01-05 04:02:36,12.2,15.5,16.2,81.5,24.8,59.3
39,2022-01-05 04:02:36,13.5,16.6,16.7,81.8,25.1,60.4
40,2022-01-05 04:02:36,14.7,17.9,17.1,82.1,24.9,61.8
41,2022-01-05 04:02:36,14.0,17.1,16.7,82.4,24.8,60.7
42,2022-01-05 04:02:36,13.5,16.6,16.3,82.5,24.7,60.6
43,2022-01-05 04:27:16,13.2,16.3,16.6,82.5,24.7,60.9
44,2022-01-05 04:27:16,13.7,16.6,17.0,82.7,24.8,61.8
45,2022-01-05 04:27:16,14.3,17.2,17.1,82.9,25.2,61.1
46,2022-01-05 04:27:16,15.3,18.3,16.9,83.2,25.0,61.6
47,2022-01-05 04:27:16,14.4,17.4,16.6,83.2,24.7,61.6
48,2022-01-05 04:47:10,13.8,16.7,16.9,83.2,25.0,60.9
49,2022-01-05 04:47:10,15.2,18.2,16.8,83.5,24.9,60.9
50,2022-01-05 04:47:10,15.2,18.2,16.5,83.6,24.9,60.1
51,2022-01-05 04:47:10,12.9,15.8,16.3,83.3,24.7,59.8
52,2022-01-05 04:47:10,14.7,17.5,16.3,83.7,23.8,62.9
53,2022-01-05 05:09:07,15.2,18.0,16.3,83.7,24.7,60.6
54,2022-01-05 05:09:07,15.5,18.3,17.0,83.7,24.8,61.8
55,2022-01-05 05:09:07,14.2,17.1,16.9,83.5,24.7,61.7
56,2022-01-05 05:09:07,16.2,19.0,17.1,83.7,24.9,61.8
57,2022-01-05 05:09:07,16.0,18.8,17.0,83.7,24.8,62.0
58,2022-01-05 05:28:20,15.8,18.6,17.0,83.7,24.8,62.6
59,2022-01-05 05:28:20,15.7,18.5,17.3,83.7,24.6,63.9
60,2022-01-05 05:28:20,15.6,18.4,17.2,83.7,24.8,62.9
61,2022-01-05 05:28:20,15.5,18.3,16.9,83.7,24.7,62.6
62,2022-01-05 05:28:20,15.6,18.4,17.1,83.7,24.7,62.8
63,2022-01-05 05:49:41,15.7,18.5,17.1,83.7,24.7,63.2
64,2022-01-05 05:49:41,16.8,19.6,17.8,83.8,24.6,66.0
0,2022-01-06 00:23:33,15.2,18.0,17.6,83.8,23.2,71.2
1,2022-01-06 00:47:07,19.0,21.9,18.4,84.1,23.6,73.6
2,2022-01-06 00:01:02,19.6,22.5,18.6,84.1,23.8,73.1
3,2022-01-06 01:30:49,19.8,22.7,18.4,84.0,24.0,71.3
4,2022-01-06 01:51:01,19.9,22.8,18.3,83.8,24.2,70.6
5,2022-01-06 07:25:11,19.8,22.9,18.5,83.6,24.1,70.8
6,2022-01-06 07:50:34,19.7,22.8,18.2,83.4,24.1,70.3
7,2022-01-06 08:14:07,19.7,22.8,18.2,83.2,24.1,69.7
8,2022-01-06 08:37:48,19.7,22.8,17.8,82.9,24.1,67.9
9,2022-01-06 09:01:46,19.6,22.9,17.5,82.6,24.1,67.4
10,2022-01-06 09:25:19,19.6,22.9,17.5,82.4,24.1,67.3
11,2022-01-06 09:49:38,19.5,23.0,17.5,81.4,24.1,67.0
12,2022-01-06 10:08:30,19.5,23.0,17.5,81.2,24.1,66.7
13,2022-01-06 10:31:12,19.5,23.0,17.3,80.9,24.1,66.3
14,2022-01-06 10:53:52,19.3,23.0,17.2,80.5,24.0,65.9
15,2022-01-06 11:17:29,19.4,23.1,17.2,80.3,24.0,65.7
16,2022-01-06 11:42:16,19.5,23.2,17.2,79.9,24.0,66.0
17,2022-01-06 12:06:54,19.4,23.3,17.4,79.4,24.0,67.6
18,2022-01-06 12:32:03,19.4,23.3,17.3,79.2,23.9,67.5
19,2022-01-06 12:53:58,17.7,21.5,17.5,78.8,24.1,67.1
20,2022-01-06 13:15:50,14.0,17.9,16.3,78.5,24.1,62.6
21,2022-01-06 13:38:08,13.8,17.5,16.2,78.7,24.0,62.4
22,2022-01-06 14:02:02,13.8,17.5,16.3,78.8,24.1,62.5
23,2022-01-06 14:27:46,14.0,17.7,16.6,79.0,24.4,62.6
24,2022-01-06 14:51:49,14.4,18.1,17.2,79.2,24.8,62.9
25,2022-01-06 15:16:28,14.3,18.0,17.1,79.4,24.7,63.3
26,2022-01-06 15:40:00,14.5,18.1,17.2,79.7,24.8,63.4
27,2022-01-06 16:04:53,14.1,17.6,17.4,79.8,25.0,62.7
28,2022-01-06 16:29:08,13.4,16.9,16.8,79.9,24.6,62.3
29,2022-01-06 16:55:16,14.2,17.7,17.1,80.3,24.9,61.8
30,2022-01-06 17:20:29,14.2,17.7,17.2,80.5,24.8,62.8
31,2022-01-06 17:44:25,13.1,16.6,17.1,80.5,24.7,62.9
32,2022-01-06 18:09:04,14.9,18.3,17.2,81.0,25.0,62.0
33,2022-01-06 18:33:42,14.3,17.6,17.0,81.1,24.8,61.7
34,2022-01-06 18:58:53,14.5,17.8,17.0,81.3,24.8,62.5
35,2022-01-06 19:23:12,14.5,17.8,17.3,81.5,24.9,62.9
36,2022-01-06 19:46:19,13.4,16.7,17.5,81.5,24.8,63.7
37,2022-01-06 20:50:55,14.9,18.1,17.2,81.8,25.0,62.1
38,2022-01-06 21:13:50,14.0,17.1,17.0,81.9,24.6,62.7
39,2022-01-06 21:39:21,13.5,16.6,17.1,81.9,24.7,63.2
40,2022-01-06 22:24:59,13.8,16.9,17.3,82.1,24.6,64.1
41,2022-01-06 22:45:20,14.7,17.9,17.7,82.3,25.1,64.1
42,2022-01-06 23:09:26,15.8,19.0,17.9,82.6,25.0,64.8
43,2022-01-06 23:32:19,15.4,18.4,17.3,82.7,24.9,63.5
44,2022-01-06 00:01:02,15.0,18.0,17.4,82.8,24.7,64.6
45,2022-01-06 00:01:02,14.8,17.8,17.4,82.8,25.0,63.6
46,2022-01-06 00:23:33,14.8,17.8,17.2,83.0,24.5,64.3
47,2022-01-06 00:23:33,15.7,18.7,17.6,83.2,24.9,64.2
48,2022-01-06 00:47:07,16.0,19.0,17.6,83.3,24.9,63.9
49,2022-01-06 00:47:07,15.9,18.9,17.5,83.4,24.8,63.9
50,2022-01-06 01:30:49,15.7,18.7,17.4,83.4,24.7,63.9
51,2022-01-06 01:30:49,15.3,18.3,17.3,83.4,24.6,64.0
52,2022-01-06 01:51:01,15.5,18.5,17.5,83.4,24.8,64.2
53,2022-01-06 01:51:01,15.4,18.4,17.4,83.5,24.5,65.0
54,2022-01-06 07:25:11,15.9,18.9,17.7,83.5,24.8,65.2
55,2022-01-06 07:25:11,16.1,19.1,17.7,83.6,24.8,65.4
56,2022-01-06 07:50:34,16.1,19.1,17.8,83.6,24.9,65.5
57,2022-01-06 07:50:34,16.2,19.2,18.0,83.6,24.9,65.8
